cluster,player,playerId,season,fg,3pm,ft,reb,ast,stl,blk,tov,pts,age
4,Jason Kidd,kiddja01,2005,0.40,1.95,0.74,7.39,8.26,1.86,0.14,2.53,14.41,31
4,Steve Nash,nashst01,2005,0.50,1.25,0.89,3.32,11.48,0.99,0.08,3.27,15.53,30
4,Chauncey Billups,billuch01,2006,0.42,2.27,0.89,3.11,8.63,0.88,0.10,2.10,18.46,29
4,Baron Davis,davisba01,2006,0.39,1.89,0.68,4.37,8.89,1.65,0.26,2.94,17.91,26
4,Steve Nash,nashst01,2006,0.51,1.90,0.92,4.22,10.46,0.77,0.15,3.49,18.85,31
4,Chris Paul,paulch01,2006,0.43,0.64,0.85,5.13,7.83,2.24,0.08,2.35,16.13,20
4,Jason Kidd,kiddja01,2007,0.41,1.55,0.78,8.19,9.20,1.59,0.29,2.66,13.01,33
4,Steve Nash,nashst01,2007,0.53,2.05,0.90,3.54,11.63,0.75,0.08,3.78,18.58,32
4,Chris Paul,paulch01,2007,0.44,0.78,0.82,4.38,8.89,1.84,0.05,2.52,17.25,21
4,Deron Williams,willide01,2007,0.46,1.03,0.77,3.34,9.31,0.98,0.16,3.08,16.21,22
4,Steve Nash,nashst01,2008,0.50,2.21,0.91,3.48,11.09,0.65,0.06,3.64,16.93,33
4,Deron Williams,willide01,2008,0.51,1.01,0.80,2.96,10.51,1.10,0.28,3.40,18.84,23
4,Steve Nash,nashst01,2009,0.50,1.46,0.93,3.01,9.69,0.74,0.14,3.35,15.68,34
4,Deron Williams,willide01,2009,0.47,1.03,0.85,2.87,10.66,1.07,0.29,3.35,19.44,24
4,Baron Davis,davisba01,2010,0.41,1.09,0.82,3.55,7.97,1.68,0.57,2.81,15.27,30
4,Steve Nash,nashst01,2010,0.51,1.53,0.94,3.31,11.01,0.52,0.15,3.64,16.46,35
4,Chris Paul,paulch01,2010,0.49,1.16,0.85,4.24,10.67,2.13,0.18,2.49,18.69,24
