cluster,player,playerId,fg,3pm,ft,reb,ast,stl,blk,tov,pts,age,similarPlayers
27,Jon Leuer,leuerjo01,0.44,0.11,0.63,3.29,0.73,0.27,0.14,0.56,4.54,25,ellisbo02;kramejo01;kupchmi01;scottal01;walkewa01;benneme01;kramejo01;roberan01;hayesst01;mokespa01;parkeso01;battoda01;curetea01;mokespa01;rayja01;brownri01;bryanwa01;curetea01;garrijo01;mcdowha01;oldhaja01;pittmch01;tolbera01;willobi01;anderjj01;brownri01;bryanwa01;hastisc01;jonesoz01;kopicjo01;michela01;sapplwa01;schayda01;waitegr01;westma01;whitero01;willisa02;garnebi02;hastisc01;mcdowha01;verhope01;bolma01;feitlda01;mccrasc01;mcneach01;murphja01;scurrca01;turneje01;acresma01;bolma01;brownmi01;grayst01;thornbo01;grayst01;polynol01;smrekmi01;welpch01;wilkied01;allenra01;battlke01;bryanma01;koncajo01;perduwi01;perryti01;pincked01;wennibi01;wolfjo01;bennewi01;keysra01;perryti01;walkeke01;askinke01;bennewi01;bryanma01;herreca01;leckner01;royaldo01;askinke01;conloma01;hammoto01;kesslal01;laneje01;palmewa01;blounco01;hammoto01;houstby01;johnser02;mornida01;schindw01;abdelal01;aventan01;blounco01;causwdu01;fishma01;hodgedo01;mobleer01;rileyer01;russebr01;slatere01;tuckean01;edwardo01;harvean01;houstby01;lynchge01;manniri01;outlabo01;rileyer01;earlac01;howarst01;keefead01;mcilvji01;meyerlo01;obanned01;owesra01;parksch02;bennema01;laudepr01;mcilvji01;montrer01;reiddo01;simpkdi01;vaughda02;williaa01;anstech01;boothke01;catoke01;fulleto02;knightr01;ekeziob01;eschmev01;fulleto02;hamilth01;hugheri02;maccuto01;reiddo01;abdulta01;blounma01;bowenry01;ekeziob01;maccuto01;mottoha01;nailole01;najered01;santida01;stepavl01;trentga01;bowdlca01;collija02;eschmev01;fowlktr01;madsema01;skinnbr01;traylro01;baxtelo01;boothca01;doleami01;elyme01;fosteje01;fowlktr01;gadzuda01;moisoje01;morrite01;scalabr01;traylro01;voskuja01;allenma01;anderch01;baxtelo01;brownde02;elyme01;moisoje01;scalabr01;songada01;tsakaja01;woodslo01;araujra01;barnema02;borchcu01;collija03;duprero01;humphry01;huntebr01;kasunma01;medvest01;smithth01;waltolu01;araujra01;barnema02;diopde01;johnsli01;singlja01;sowpa01;bonnema01;diopde01;johnsli01;poweljo01;sweetmi01;anthojo01;brownan01;diopde01;grahajo01;harrida01;jeffrja01;johnsal01;jonesbo02;willish02;amundlo01;anthojo01;armsthi01;davispa01;dioguik01;fryech01;grayaa01;holliry01;jonesso01;mayse01;poweljo01;willish02;gortama01;grayaa01;huntech01;jonesso01;mayse01;pachuza01;pecheol01;petrojo01;powele01;willish02;asikom01;erdense01;grayaa01;jonesso01;mahinia01;mcguido01;mozgoti01;petrojo01;smithja02;splitti01;biedran01;clarkea01;erdense01;haranlu01;harrite01;mcguido01;mcrobjo01;petrojo01;stiemgr01;tollian01;willish03;adrieje01;pendeje02;casspom01;clavevi01;mozgoti01;scottmi01;thabeha01;udohek01;pendeje02;clarkea01;dedmode01;favervi01;freeljo01;geeal01;harrejo01;hummero01;jerebjo01;mulleby01;odengr01;radulmi01;randoan01;serapke01;singlch01;udohek01;varnaja01;dayeau01;ezelife01;hummero01;jeffeco01;leuerjo01;weartr01
27,Jason Maxiell,maxieja01,0.42,0.00,0.58,3.33,0.31,0.30,0.72,0.48,3.33,31,awtrede01;hillmda01;dietrco01;raycl01;breweji01;catchha01;choneji01;kunneke01;pellosa01;elmorle01;catchha01;elmorle01;fernser01;jonesma01;meriwjo01;robeyri01;sheltlo01;bensoke01;dunntr01;iavarma01;johnscl01;olberma01;baileja01;dunntr01;iavarma01;jonesch01;maxwece01;mokespa01;davisch02;jonesch01;whiteje01;levincl01;rambiku01;sampsra01;levincl01;nealyed01;bolma01;greensi02;kleinjo01;mccraro01;plummga01;rasmubl01;thompla01;dreilgr01;kleinjo01;mitchsa01;andergr01;koncajo01;pincked01;wennibi01;koncajo01;mccanbo01;sallejo01;wolfjo01;woodda01;caldwad01;duckwke01;grantha01;morrich01;royaldo01;bryanma01;ellispe01;grantha01;langan01;longgr01;millste01;morrich01;spencfe01;augmost01;blounco01;chilcpe01;daviste01;hammoto01;shackch01;vaughlo01;augmost01;blounco01;fostegr01;reidjr01;rooksse01;brownch01;causwdu01;keefead01;slatere01;stricma01;stronde01;tabakza01;vaughlo01;amaecjo01;austiis01;lynchge01;montrer01;stricma01;ellisla01;russebr01;bradlsh01;declean01;harriot01;rebraze01;andersh01;bradlsh01;grantbr01;handlbe01;hendeal01;mccarwa01;burkepa01;catoke01;jamesje01;mooremi01;murrala01;nailole01;ostergr01;willico02;croshau01;foylead01;lafrera01;rosema01;wrighlo02;cardibr01;croshau01;elsonfr01;georgde01;ruffimi01;skinnbr01;storeaw01;allenma01;cardibr01;elsonfr01;elyme01;gadzuda01;georgde01;magloja01;najered01;thomaet01;udokaim01;gadzuda01;hassetr01;magloja01;thomaet01;thomake01;udokaim01;anderda03;cookbr01;gadzuda01;moonja01;murphtr01;przybjo01;richaqu01;butlera01;evansre01;murphtr01;przybjo01;radmavl01;richaqu01;brownkw01;wilcoch01;hayesch01;maxieja01;dorsejo01;holliry01;maxieja01
27,JaVale McGee,mcgeeja01,0.53,0.00,0.67,2.65,0.13,0.09,0.87,0.78,4.61,27,hugheri02;mcilvji01;muresgh01;parksch02;reiddo01;abdulta01;curlebi01;declean01;hamda01;kingge02;reiddo01;tarladr01;trentga01;caffeja01;declean01;eschmev01;hamda01;jacksma02;madsema01;mccarwa01;ostergr01;reiddo01;boothca01;bowenry01;fosteje01;fowlktr01;madsema01;potapvi01;elsonfr01;foylead01;hamilze01;madsema01;mooremi01;ndiayma02;najered01;padgesc01;ruffimi01;santida01;sesayan01;stepavl01;walkesa01;collija03;doleami01;elsonfr01;padgesc01;ruffimi01;smithja01;allenma01;baxtelo01;doleami01;woodslo01;allenma01;bonnema01;collija04;johnsli01;przybjo01;tsakaja01;bonnema01;brownan01;diopde01;jeffrja01;mihmch01;amundlo01;anthojo01;diopde01;evansre01;milesda01;poweljo01;anthojo01;brownkw01;grahajo01;grahast01;powele01;wilcoch01;willish02;anthojo01;childjo01;dorsejo01;grahast01;grayaa01;jonesso01;maxieja01;poweljo01;splitti01;turiaro01;childjo01;hayesch01;holliry01;jonesso01;mcguido01;petrojo01;smithcr01;stiemgr01;tollian01;adrieje01;ayongu01;brewero02;grayaa01;haddaha01;holliry01;jamesbe01;johnsch03;mcguido01;mozgoti01;petrojo01;stiemgr01;teletmi01;tollian01;pendeje02;baynear01;clarkea01;freeljo01;geeal01;jerebjo01;mahinia01;mbahalu01;odengr01;radulmi01;stiemgr01;udohek01;dayeau01;freeljo01;jordaje01;mcgeeja01;barnema01;breweji01;brownjo01;forddo01;hugheki01;benneme01;burleto01;elmorle01;forddo01;gerargu01;jonesma01;lambejo01;douglle01;hayesst01;jonesma01;parkeso01;battoda01;hayesst01;landsma01;mokespa01;robeyri01;scottal01;curetea01;mokespa01;oldhaja01;poquebe01;willobi01;brownri01;johnsge03;oldhaja01;jonesch01;mcdowha01;verhope01;vraneda01;brickfr01;mccrasc01;mcnamma01;nealyed01;breuera01;jonesch02;kitegr01;smrekmi01;wilkied01;bolma01;koncajo01;peterji01;pincked01;wennibi01;wilkied01;bedfowi01;bolma01;dreilgr01;mccorti01;peterji01;walkeke01;wilkied01;bedfowi01;bennewi01;bryanma01;koncajo01;wolfjo01;curcira01;kesslal01;laneje01;frankte01;hammoto01;johnser02;perduwi01;tolbeto01;abdelal01;blounco01;causwdu01;daviste01;jacksja01;johnser02;leckner01;shackch01;blounco01;causwdu01;fostegr01;hammoto01;houstby01;schindw01;stronde01;causwdu01;chilcpe01;earlac01;fostegr01;howarst01;keefead01;rooksse01;simmoli01;stewala01;montrer01;rileyer01;rooksse01;williaa01;willitr01;keefead01;montrer01;rileyer01;slatere01;stricma01;williaa01
27,Mike Muscala,muscami01,0.55,0.23,0.88,2.98,0.63,0.40,0.48,0.53,4.93,23,closske01;ekeziob01;eschmev01;hamilth01;maccuto01;mccoyje01;ruffimi01;traylro01;mottoha01;najered01;santida01;stepavl01;anderch01;bowdlca01;collija02;morrite01;przybjo01;traylro01;baxtelo01;elyme01;gadzuda01;hassetr01;medvest01;moisoje01;morrite01;przybjo01;sasseje01;scalabr01;simmobo01;cookbr01;diopde01;harvedo01;huntebr01;huntest01;tsakaja01;westda01;woodsqy01;araujra01;barnema02;borchcu01;duprero01;freijma01;huntebr01;huntest01;kasunma01;khryavi01;smithth01;waltolu01;diopde01;hayesch01;poweljo01;simiewa01;singlja01;sowpa01;warriha01;armsthi01;boonejo01;gelabmi01;johnsal01;jonesso01;maxieja01;powele01;poweljo01;sefolth01;sweetmi01;wrighan01;armsthi01;balkmre01;davisgl01;fazekni01;grayaa01;johnsal01;jonesbo02;pecheol01;willish02;armsthi01;davispa01;grayaa01;holliry01;humphkr01;jonesso01;kurzro01;mayse01;pecheol01;petrojo01;swiftro01;pendeje02;brockjo01;cunnida01;jawaina01;johnsja01;mahinia01;mcrobjo01;pecheol01;petrojo01;smithja02;thabeha01;willise01;wrighju01;ajincal01;asikom01;brockjo01;brownde04;clarkea01;erdense01;evansje01;haranlu01;jamesda01;mahinia01;mozgoti01;sandela01;smithja02;udohek01;wrighbr03;wrighju01;clarkea01;ebankde01;haranlu01;harrite01;leuerjo01;mcrobjo01;sandela01;thomala01;acyqu01;babbilu01;casspom01;clavevi01;ezelife01;greendr01;jonesde01;joneske01;moultar01;oquinky01;randoan01;scottmi01;singlch01;acyqu01;crowdja01;dedmode01;harrejo01;hummero01;jonespe01;mulleby01;muscami01;ortonda01;randoan01;serapke01;singlch01;tylerje01;veselja01;witheje01;aldemfu01;jeffeco01;lauvejo01;muscami01;roberan03;weartr01;baileja01;corzida01;kramejo01;peckwi01;scottal01;whiteje01;allumda01;brownri01;curetea01;demicla01;scalede01;sheltcr01;bradlal02;davisch02;gudmupe01;mcdowha01;smithji01;tolbera01;vraneda01;mcdowha01;thompco01;tillida01;turneel01;bryanwa01;crossru01;garrijo01;kopicjo01;mccrasc01;mcdowha01;michela01;nealyed01;norriau01;tillida01;waitegr01;anderjj01;hastisc01;jonesoz01;kopicjo01;michela01;peterji01;plummga01;sapplwa01;waitegr01;westma01;johnske01;rasmubl01;smrekmi01;turneje01;wennibi01;bolma01;brownmi01;feitlda01;kemptti01;murphja01;scurrca01;turneje01;vanosni01;brownmi01;critewi01;dudlech02;grayst01;dudlech02;frankte01;langan01;leckner01;perryti01;polynol01;shackch01;bryanma01;hortoed01;langan01;leckner01;perduwi01;perryti01;whitera01;abdelal01;fostegr01;keysra01;schindw01;willija01;askinke01;brownch01;chilcpe01;fostegr01;mustaje01;schindw01;willija01;willike03;willisc01;delebi01;geigema01;mustaje01;palmewa01;houstby01;keefead01;kiddwa01;mornida01;peplomi01;russebr01;curlebi01;millean01;mobleer01;rileyer01;russebr01;simpkdi01;slatere01;willimo01;caffeja01;dareyi01;davisma02;mcilvji01;ostergr01;outlabo01;parksch02;reiddo01;roziecl01;simpkdi01;zidekge01;fulleto02;hendrma01;mcilvji01;meyerlo01;obanned01;owesra01;parksch02;rosema01;vaughda02;wallajo01;wingfdo01;bennema01;catoke01;feickja01;foylead01;fulleto02;hendrma01;laudepr01;reiddo01;vaughda02;wallabe01;anstech01;boothke01;catoke01;clarkke01;croshau01;foylead01;fulleto02;jacksra02;knightr01;pattean01;skinnbr01;thomajo02;whiteja01
27,Andre Roberson,roberan03,0.46,0.31,0.48,3.81,1.04,0.79,0.43,0.69,3.40,23,closske01;ekeziob01;eschmev01;hamilth01;maccuto01;mccoyje01;ruffimi01;traylro01;mottoha01;najered01;santida01;stepavl01;anderch01;bowdlca01;collija02;morrite01;przybjo01;traylro01;baxtelo01;elyme01;gadzuda01;hassetr01;medvest01;moisoje01;morrite01;przybjo01;sasseje01;scalabr01;simmobo01;cookbr01;diopde01;harvedo01;huntebr01;huntest01;tsakaja01;westda01;woodsqy01;araujra01;barnema02;borchcu01;duprero01;freijma01;huntebr01;huntest01;kasunma01;khryavi01;smithth01;waltolu01;diopde01;hayesch01;poweljo01;simiewa01;singlja01;sowpa01;warriha01;armsthi01;boonejo01;gelabmi01;johnsal01;jonesso01;maxieja01;powele01;poweljo01;sefolth01;sweetmi01;wrighan01;armsthi01;balkmre01;davisgl01;fazekni01;grayaa01;johnsal01;jonesbo02;pecheol01;willish02;armsthi01;davispa01;grayaa01;holliry01;humphkr01;jonesso01;kurzro01;mayse01;pecheol01;petrojo01;swiftro01;pendeje02;brockjo01;cunnida01;jawaina01;johnsja01;mahinia01;mcrobjo01;pecheol01;petrojo01;smithja02;thabeha01;willise01;wrighju01;ajincal01;asikom01;brockjo01;brownde04;clarkea01;erdense01;evansje01;haranlu01;jamesda01;mahinia01;mozgoti01;sandela01;smithja02;udohek01;wrighbr03;wrighju01;clarkea01;ebankde01;haranlu01;harrite01;leuerjo01;mcrobjo01;sandela01;thomala01;acyqu01;babbilu01;casspom01;clavevi01;ezelife01;greendr01;jonesde01;joneske01;moultar01;oquinky01;randoan01;scottmi01;singlch01;acyqu01;crowdja01;dedmode01;harrejo01;hummero01;jonespe01;mulleby01;muscami01;ortonda01;randoan01;serapke01;singlch01;tylerje01;veselja01;witheje01;aldemfu01;jeffeco01;lauvejo01;muscami01;roberan03;weartr01;baileja01;corzida01;kramejo01;peckwi01;scottal01;whiteje01;allumda01;brownri01;curetea01;demicla01;scalede01;sheltcr01;bradlal02;davisch02;gudmupe01;mcdowha01;smithji01;tolbera01;vraneda01;mcdowha01;thompco01;tillida01;turneel01;bryanwa01;crossru01;garrijo01;kopicjo01;mccrasc01;mcdowha01;michela01;nealyed01;norriau01;tillida01;waitegr01;anderjj01;hastisc01;jonesoz01;kopicjo01;michela01;peterji01;plummga01;sapplwa01;waitegr01;westma01;johnske01;rasmubl01;smrekmi01;turneje01;wennibi01;bolma01;brownmi01;feitlda01;kemptti01;murphja01;scurrca01;turneje01;vanosni01;brownmi01;critewi01;dudlech02;grayst01;dudlech02;frankte01;langan01;leckner01;perryti01;polynol01;shackch01;bryanma01;hortoed01;langan01;leckner01;perduwi01;perryti01;whitera01;abdelal01;fostegr01;keysra01;schindw01;willija01;askinke01;brownch01;chilcpe01;fostegr01;mustaje01;schindw01;willija01;willike03;willisc01;delebi01;geigema01;mustaje01;palmewa01;houstby01;keefead01;kiddwa01;mornida01;peplomi01;russebr01;curlebi01;millean01;mobleer01;rileyer01;russebr01;simpkdi01;slatere01;willimo01;caffeja01;dareyi01;davisma02;mcilvji01;ostergr01;outlabo01;parksch02;reiddo01;roziecl01;simpkdi01;zidekge01;fulleto02;hendrma01;mcilvji01;meyerlo01;obanned01;owesra01;parksch02;rosema01;vaughda02;wallajo01;wingfdo01;bennema01;catoke01;feickja01;foylead01;fulleto02;hendrma01;laudepr01;reiddo01;vaughda02;wallabe01;anstech01;boothke01;catoke01;clarkke01;croshau01;foylead01;fulleto02;jacksra02;knightr01;pattean01;skinnbr01;thomajo02;whiteja01
27,Noah Vonleh,vonleno01,0.40,0.20,0.69,3.44,0.16,0.16,0.36,0.44,3.32,19,willipe01;onealje01;onealje01;onealje01;brownkw01;fordal02;fotsian01;huntest01;wallage01;wilcoch01;lampema01;pachuza01;biedran01;humphkr01;lampema01;perkike01;biedran01;humphkr01;milicda01;blatcan01;hawessp01;johnsam01;wrighbr03;wrighju01;hicksjj01;koufoko01;lopezro01;harrito02;adamsst01;bennean01;vonleno01
27,Travis Wear,weartr01,0.40,0.22,0.77,2.08,0.78,0.29,0.22,0.69,3.90,24,closske01;ekeziob01;eschmev01;fulleto02;hamilth01;maccuto01;ruffimi01;blounma01;bowenry01;ekeziob01;maccuto01;mottoha01;nailole01;najered01;santida01;stepavl01;anderch01;bowdlca01;collija02;fowlktr01;morrite01;skinnbr01;traylro01;baxtelo01;doleami01;elyme01;gadzuda01;hassetr01;medvest01;moisoje01;morrite01;przybjo01;sasseje01;scalabr01;traylro01;voskuja01;allenma01;anderch01;baxtelo01;brownde02;cookbr01;elyme01;harvedo01;huntebr01;moisoje01;scalabr01;songada01;tsakaja01;westda01;woodslo01;araujra01;barnema02;borchcu01;duprero01;freijma01;humphry01;huntebr01;huntest01;kasunma01;medvest01;smithth01;waltolu01;araujra01;barnema02;diopde01;johnsli01;poweljo01;singlja01;sowpa01;warriha01;diopde01;gelabmi01;johnsal01;maxieja01;powele01;poweljo01;sweetmi01;anthojo01;armsthi01;balkmre01;grahajo01;grayaa01;harrida01;johnsal01;jonesbo02;willish02;armsthi01;davispa01;dioguik01;fryech01;grayaa01;holliry01;humphkr01;jonesso01;kurzro01;mayse01;pecheol01;petrojo01;swiftro01;willish02;gortama01;grayaa01;huntech01;jawaina01;jonesso01;mahinia01;mayse01;pachuza01;pecheol01;petrojo01;smithja02;willise01;asikom01;brockjo01;brownde04;clarkea01;erdense01;evansje01;haranlu01;jamesda01;mahinia01;mcguido01;mozgoti01;petrojo01;smithja02;udohek01;wrighbr03;wrighju01;biedran01;clarkea01;erdense01;haranlu01;harrite01;mcrobjo01;sandela01;thomala01;willish03;pendeje02;babbilu01;casspom01;clavevi01;ezelife01;joneske01;randoan01;scottmi01;singlch01;thabeha01;udohek01;acyqu01;crowdja01;dedmode01;favervi01;harrejo01;hummero01;mulleby01;ortonda01;randoan01;serapke01;singlch01;varnaja01;veselja01;witheje01;aldemfu01;ezelife01;hummero01;jeffeco01;lauvejo01;leuerjo01;muscami01;roberan03;weartr01;corzida01;ellisbo02;kramejo01;kupchmi01;scottal01;walkewa01;whiteje01;curetea01;demicla01;kramejo01;roberan01;sheltcr01;davisch02;gudmupe01;mokespa01;smithji01;tolbera01;vraneda01;curetea01;mcdowha01;rayja01;turneel01;brownri01;bryanwa01;garrijo01;kopicjo01;mccrasc01;mcdowha01;michela01;nealyed01;norriau01;pittmch01;tillida01;tolbera01;waitegr01;anderjj01;bryanwa01;hastisc01;jonesoz01;kopicjo01;michela01;sapplwa01;schayda01;waitegr01;westma01;whitero01;willisa02;garnebi02;hastisc01;johnske01;rasmubl01;smrekmi01;turneje01;bolma01;brownmi01;feitlda01;kemptti01;mcneach01;murphja01;scurrca01;turneje01;vanosni01;acresma01;bolma01;brownmi01;grayst01;thornbo01;dudlech02;frankte01;grayst01;perryti01;polynol01;welpch01;allenra01;battlke01;bryanma01;langan01;leckner01;perduwi01;perryti01;wolfjo01;bennewi01;keysra01;perryti01;askinke01;brownch01;chilcpe01;fostegr01;herreca01;leckner01;royaldo01;schindw01;willija01;willisc01;askinke01;conloma01;delebi01;geigema01;hammoto01;mustaje01;palmewa01;blounco01;houstby01;keefead01;kiddwa01;mornida01;peplomi01;russebr01;schindw01;aventan01;fishma01;hodgedo01;millean01;mobleer01;rileyer01;russebr01;slatere01;tuckean01;willimo01;dareyi01;edwardo01;harvean01;lynchge01;manniri01;mcilvji01;outlabo01;parksch02;rileyer01;roziecl01;simpkdi01;mcilvji01;meyerlo01;obanned01;owesra01;parksch02;vaughda02;bennema01;catoke01;feickja01;fulleto02;hendrma01;laudepr01;mcilvji01;reiddo01;simpkdi01;vaughda02;wallabe01;anstech01;boothke01;catoke01;clarkke01;croshau01;foylead01;fulleto02;jacksra02;knightr01;pattean01;thomajo02
23,Ryan Anderson,anderry01,0.40,2.00,0.85,4.84,0.90,0.54,0.33,1.02,13.66,26,howarju01;stricer01;murrala01;patteru01;masonde01;petermo01;thomati01;wellsbo01;jamisan01;masonde01;poseyja01;thomati01;millemi01;nocioan01;princta01;simmobo01;dunlemi02;nocioan01;princta01;curryed01;gomesry01;harrial01;princta01;azubuke01;diawbo01;gomesry01;denglu01;dudleja01;chandwi01;millspa01;chandwi01;hendege02;turneev01;anderry01;chandwi01;morrima02;youngth01;knighbi01;meyerda01;wilkebo01;maxwece01;maxwece01;olberma01;reidro01;sheltlo01;baileja01;sheltlo01;johnsge03;orrlo01;willisl01;kingal01;vinceja01;baileth01;mccraro01;robincl01;vinceja01;rasmubl01;pressha01;schrede01;corbity01;johnsbu01;mitchsa01;reynoje01;smithot01;catlete01;johnsbu01;majerda01;mitchsa01;morrich01;smithot01;willire01;mckeyde01;robincl02;smithch01;smitsri01;mckeyde01;millste01;morrich01;smithch01;smitsri01;augmost01;hawkihe01;mckeyde01;augmost01;gillke01;owensbi01;burresc01;foxri01;horryro01;millsch01;owensbi01;stithbr01;williwa02;cebalce01;chrisdo01;johnsla02;millsch01;rogerro01;ellisla01;hendeal01;mashbja01;rogerro01;bakervi01;mashbja01;rideris01;willico02
23,Trevor Ariza,arizatr01,0.40,2.37,0.85,5.60,2.55,1.85,0.21,1.72,12.78,29,bantomi01;bristal01;jonesbo01;bantomi01;jonesbo01;kenonla01;johnsmi01;jonesbo01;adamsal01;johnsmi01;ballagr01;edwarja01;maxwece01;reidro01;adamsal01;ballagr01;dawkida01;edwarja01;dawkida01;johnsst03;johnsst03;brickfr01;griffda01;aguirma01;baileth01;ehlocr01;hinsoro01;baileth01;kerseje01;bowiean01;catlete01;mcdanxa01;gilliar01;mcdanxa01;normake01;willire01;mckeyde01;morrich01;normake01;smithch01;willire01;anderni01;mannida01;elliose01;mannida01;gillke01;johnsla02;kukocto01;laettch01;johnsla02;russebr01;rogerro01;russebr01;bakervi01;willico02;hillgr01;harprma01;nailole01;abdursh01;harprma01;martike01;walkean02;masonde01;davisri01;thomati01;daniema01;princta01;brandel01;lewisra02;princta01;princta01;goodedr01;landrca01;wallage01;stoudam01;arizatr01;bargnan01;gasolma01;arizatr01;bargnan01;carrode01;denglu01;smithjo03
23,Andrea Bargnani,bargnan01,0.45,0.52,0.81,4.38,1.59,0.07,0.93,1.45,14.83,29,rogerro01;russebr01;bakervi01;willico02;hillgr01;harprma01;nailole01;abdursh01;harprma01;martike01;walkean02;masonde01;davisri01;thomati01;daniema01;princta01;brandel01;lewisra02;princta01;princta01;goodedr01;landrca01;wallage01;stoudam01;arizatr01;bargnan01;gasolma01;arizatr01;bargnan01;carrode01;denglu01;smithjo03;bantomi01;bristal01;jonesbo01;bantomi01;jonesbo01;kenonla01;johnsmi01;jonesbo01;adamsal01;johnsmi01;ballagr01;edwarja01;maxwece01;reidro01;adamsal01;ballagr01;dawkida01;edwarja01;dawkida01;johnsst03;johnsst03;brickfr01;griffda01;aguirma01;baileth01;ehlocr01;hinsoro01;baileth01;kerseje01;bowiean01;catlete01;mcdanxa01;gilliar01;mcdanxa01;normake01;willire01;mckeyde01;morrich01;normake01;smithch01;willire01;anderni01;mannida01;elliose01;mannida01;gillke01;johnsla02;kukocto01;laettch01;johnsla02;russebr01
23,Alec Burks,burksal01,0.40,0.96,0.82,4.22,3.04,0.63,0.19,1.93,13.85,23,kelsegr01;parkeso01;reidro01;brookmi01;johnsvi01;kelsegr01;moncrsi01;nattca01;olberma01;willisl01;cartwbi01;johnsst03;willisl01;brookmi01;kingal01;worthja01;baileth01;flemive01;mccraro01;baileth01;kerseje01;tisdawa01;morrich01;pippesc01;willijo02;morrich01;ricegl01;anderni01;lichtto01;mckeyde01;willijo02;augmost01;augmost01;cebalce01;dayto01;jonesed02;rogerro01;cambyma01;wallara01;willier01;murrala01;smithjo02;wallajo01;wallara01;wallara01;szczewa02;tayloma01;wellsbo01;battish01;fizerma01;martike01;masonde01;artesro01;harrial01;hughela01;odomla01;davisri01;harrial01;butleca01;dunlemi02;howarjo01;milesda01;princta01;richaqu01;curryed01;iguodan01;krstine01;milesda01;childjo01;grangda01;warriha01;outlatr01;thornal01;bargnan01;denglu01;willima02;arizatr01;blatcan01;chandwi01;greenje02;chandwi01;greenje02;youngth01;batumni01;gallida01;youngth01;batumni01;turneev01;butleji01;leonaka01;morrima02;stephla01;burksal01;covinro01;middlkh01;muhamsh01
23,DeMarre Carroll,carrode01,0.49,1.71,0.70,5.31,1.69,1.34,0.24,1.07,12.61,28,rogerro01;russebr01;murrala01;willico02;jamisan01;poseyja01;harprma01;nailole01;abdursh01;harprma01;martike01;walkean02;masonde01;nocioan01;davisri01;harrial01;princta01;daniema01;princta01;princta01;landrca01;wallage01;millspa01;arizatr01;bargnan01;gasolma01;arizatr01;bargnan01;carrode01;chandwi01;denglu01;smithjo03;bantomi01;bristal01;jonesbo01;knighbi01;bantomi01;jonesbo01;kenonla01;johnsmi01;adamsal01;sheltlo01;ballagr01;edwarja01;johnsge03;maxwece01;reidro01;dawkida01;edwarja01;willisl01;dawkida01;johnsst03;vinceja01;brickfr01;baileth01;corbity01;ehlocr01;hinsoro01;reynoje01;baileth01;catlete01;johnsbu01;kerseje01;mitchsa01;smithot01;bowiean01;catlete01;mcdanxa01;gilliar01;mcdanxa01;morrich01;smithch01;hawkihe01;mckeyde01;normake01;willire01;mckeyde01;morrich01;smithch01;anderni01;mannida01;cebalce01;elliose01;johnsla02;millsch01;ellisla01;gillke01;johnsla02;kukocto01;laettch01;bakervi01;johnsla02;rideris01;russebr01
23,Wilson Chandler,chandwi01,0.43,1.78,0.78,6.09,1.72,0.74,0.37,1.41,13.91,27,howarju01;rogerro01;stricer01;murrala01;willico02;wellsbo01;jamisan01;masonde01;poseyja01;thomati01;harprma01;martike01;nocioan01;dunlemi02;nocioan01;princta01;davisri01;harrial01;princta01;daniema01;diawbo01;gomesry01;princta01;denglu01;dudleja01;landrca01;millspa01;arizatr01;bargnan01;chandwi01;hendege02;anderry01;carrode01;chandwi01;youngth01;bantomi01;bristal01;jonesbo01;knighbi01;meyerda01;kenonla01;maxwece01;reidro01;sheltlo01;adamsal01;sheltlo01;edwarja01;johnsge03;maxwece01;reidro01;dawkida01;orrlo01;willisl01;johnsst03;kingal01;vinceja01;robincl01;vinceja01;schrede01;baileth01;corbity01;ehlocr01;hinsoro01;johnsbu01;mitchsa01;reynoje01;smithot01;catlete01;johnsbu01;kerseje01;mitchsa01;smithot01;willire01;bowiean01;catlete01;mcdanxa01;smithch01;gilliar01;mckeyde01;morrich01;smithch01;smitsri01;hawkihe01;mckeyde01;augmost01;gillke01;mckeyde01;anderni01;foxri01;millsch01;owensbi01;cebalce01;chrisdo01;elliose01;johnsla02;millsch01;ellisla01;johnsla02;laettch01;rogerro01;bakervi01;mashbja01;rideris01;russebr01
23,Robert Covington,covinro01,0.40,2.39,0.82,4.51,1.50,1.39,0.44,1.83,13.47,24,parkeso01;reidro01;wilkebo01;johnsvi01;kelsegr01;maxwece01;moncrsi01;nattca01;olberma01;willisl01;cartwbi01;johnsst03;olberma01;willisl01;baileja01;brookmi01;kingal01;baileth01;mccraro01;baileth01;baileth01;kerseje01;mccraro01;rasmubl01;morrich01;pippesc01;pressha01;morrich01;anderni01;lichtto01;majerda01;mckeyde01;morrich01;willijo02;augmost01;mckeyde01;robincl02;smitsri01;augmost01;cebalce01;dayto01;millste01;augmost01;jonesed02;owensbi01;rogerro01;burresc01;horryro01;stithbr01;williwa02;rogerro01;willier01;hendeal01;mashbja01;murrala01;wallajo01;wallara01;wallara01;willico02;patteru01;szczewa02;tayloma01;wellsbo01;battish01;fizerma01;martike01;masonde01;hughela01;masonde01;odomla01;petermo01;thomati01;davisri01;harrial01;butleca01;dunlemi02;howarjo01;milesda01;princta01;richaqu01;curryed01;milesda01;millemi01;princta01;simmobo01;childjo01;grangda01;warriha01;curryed01;gomesry01;outlatr01;thornal01;azubuke01;bargnan01;denglu01;arizatr01;blatcan01;greenje02;chandwi01;greenje02;batumni01;gallida01;youngth01;batumni01;chandwi01;turneev01;butleji01;morrima02;stephla01;turneev01;burksal01;covinro01;middlkh01;morrima02
